Episode,Total_Reward,Is_Success,Obj0_Color,Obj0_Status,Obj0_Reward,Obj1_Color,Obj1_Status,Obj1_Reward,Obj2_Color,Obj2_Status,Obj2_Reward,Obj3_Color,Obj3_Status,Obj3_Reward,Obj4_Color,Obj4_Status,Obj4_Reward,Obj5_Color,Obj5_Status,Obj5_Reward,Obj6_Color,Obj6_Status,Obj6_Reward,Obj7_Color,Obj7_Status,Obj7_Reward,Obj8_Color,Obj8_Status,Obj8_Reward,Obj9_Color,Obj9_Status,Obj9_Reward
38,10093,False,b,Fail,0,r,Indep_Success,1,r,Indep_Success,1,g,Coop_Success,2,r,Indep_Success,1,b,Coop_Success,2,g,Fail,0,r,Indep_Success,1,b,Fail,0,g,Fail,0
39,11294,False,b,Fail,0,r,Indep_Success,1,r,Indep_Success,1,g,Coop_Success,2,r,Indep_Success,1,b,Coop_Success,2,g,Fail,0,b,Coop_Success,2,r,Fail,0,g,Coop_Success,2
40,14101,True,r,Indep_Success,1,g,Coop_Success,2,b,Coop_Success,2,g,Coop_Success,2,r,Indep_Success,1,b,Coop_Success,2,b,Coop_Success,2,g,Coop_Success,2,r,Indep_Success,1,r,Indep_Success,1
41,14154,True,g,Coop_Success,2,b,Coop_Success,2,g,Coop_Success,2,b,Coop_Success,2,g,Coop_Success,2,r,Indep_Success,1,b,Coop_Success,2,b,Coop_Success,2,r,Indep_Success,1,g,Coop_Success,2
42,16565,True,g,Coop_Success,2,r,Indep_Success,1,b,Coop_Success,2,r,Indep_Success,1,r,Indep_Success,1,r,Indep_Success,1,b,Coop_Success,2,g,Coop_Success,2,g,Coop_Success,2,b,Coop_Success,2
43,15520,True,b,Coop_Success,2,g,Coop_Success,2,r,Indep_Success,1,r,Indep_Success,1,r,Indep_Success,1,r,Indep_Success,1,g,Coop_Success,2,b,Coop_Success,2,r,Indep_Success,1,r,Indep_Success,1
44,15512,True,r,Indep_Success,1,g,Coop_Success,2,r,Indep_Success,1,b,Coop_Success,2,b,Coop_Success,2,r,Indep_Success,1,g,Coop_Success,2,b,Coop_Success,2,r,Indep_Success,1,g,Coop_Success,2
45,13580,True,b,Coop_Success,2,g,Coop_Success,2,b,Coop_Success,2,g,Coop_Success,2,g,Coop_Success,2,b,Coop_Success,2,g,Coop_Success,2,b,Coop_Success,2,g,Coop_Success,2,b,Coop_Success,2
46,14263,True,r,Indep_Success,1,g,Coop_Success,2,b,Coop_Success,2,b,Coop_Success,2,g,Coop_Success,2,r,Indep_Success,1,r,Indep_Success,1,g,Coop_Success,2,b,Coop_Success,2,r,Indep_Success,1
47,14603,True,g,Coop_Success,2,b,Coop_Success,2,b,Coop_Success,2,g,Coop_Success,2,g,Coop_Success,2,r,Indep_Success,1,b,Coop_Success,2,r,Indep_Success,1,g,Coop_Success,2,b,Coop_Success,2
48,14837,True,g,Coop_Success,2,b,Coop_Success,2,r,Indep_Success,1,g,Coop_Success,2,b,Coop_Success,2,r,Indep_Success,1,r,Indep_Success,1,b,Coop_Success,2,g,Coop_Success,2,r,Indep_Success,1
49,14695,True,g,Coop_Success,2,b,Coop_Success,2,g,Coop_Success,2,r,Indep_Success,1,b,Coop_Success,2,r,Indep_Success,1,r,Indep_Success,1,r,Indep_Success,1,g,Coop_Success,2,b,Coop_Success,2
50,14990,False,b,Coop_Success,2,r,Indep_Success,1,g,Coop_Success,2,r,Indep_Success,1,b,Coop_Success,2,g,Coop_Success,2,g,Coop_Success,2,r,Indep_Success,1,r,Fail,0,b,Coop_Success,2
